"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
1286700,1,1861,"KILOMBERO","SWERO","TZ",-8.2,37,33400,245,1957,1981,25,16.72160964,1957,1981,25,13.14878893,1957,1981,25,"471.909","14.88212222","445.5725217",95.53
1287800,1,1871,"BUBU","BAHI","TZ",-5.97,35.3,11400,860,NA,NA,NA,NA,1960,1984,25,1.006711409,1960,1984,25,"5.247","0.165469392","14.51485895",86.38
1288100,1,1881,"RUVUMA RIVER","MAHINGA (55250007)","TZ",-11.216667,35.294444,4903,-999,1971,1985,15,4.653546535,NA,NA,NA,NA,1971,1985,15,"49.465","1.55992824","318.1579115",85.77
1289050,1,1895,"MKOMAZI","GOMBA","TZ",-5.02,38.27,3340,380,1978,1979,2,7.945205479,1978,1979,2,8.333333333,1978,1979,2,"18.801","0.592908336","177.5174659",97.97
1289150,1,1890,"LUKULEDI RIVER","MTUA (55244004)","TZ",-10.28,39.425278,4302,-999,1973,1982,10,28.84961055,NA,NA,NA,NA,1973,1982,10,"1.598","0.050394528","11.71420921",97.97
1289450,1,1896,"RUVU RIVER","MOROGORO ROAD BRIDGE (55223108)","TZ",-6.688889,38.698611,15916,15,1958,1989,32,6.830947635,1959,1978,20,1.304347826,1958,1989,32,"58.06","1.83098016","115.0402212",83.33
1289451,1,1896,"RUVU RIVER","MIKULA (55223110)","TZ",-7.3,38.166667,6472,-999,1966,1989,24,14.86034853,NA,NA,NA,NA,1966,1989,24,"45.351","1.430189136","220.9810161",88.01
1290910,1,1901,"SONGWE RIVER","IGALULA (55131017)","TZ",-8.6,33.116667,2693,-999,1974,1979,6,12.27892875,NA,NA,NA,NA,1974,1979,6,"14.495","0.45711432","169.741671",99.19
1291100,1,1911,"ZAMBEZI RIVER","KATIMA MULILO (64370001)",NA,-17.46666667,24.3,334000,940,1942,2021,80,12.79305052,NA,NA,NA,NA,1942,2021,80,"1214.422","38.29801219","114.6647072",0.2
1291200,1,1911,"KWANDO","KONGOLA",NA,-17.68333333,23.26666667,170000,980,1969,2020,52,15.57059961,NA,NA,NA,NA,1969,2020,52,"33.881","1.068471216","6.2851248",13.41
