"grdc_no","wmo_reg","sub_reg","river","station","country","lat","lon","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr","miss"
2999473,2,2996,"NEL'GESE","5 KM UP RIVER OFFING","RU",66.4,136.85,15200,-999,NA,NA,NA,NA,1967,1997,31,25.54347826,1967,1997,31,"66.06","2.08326816","137.0571158",61.38
2999480,2,2996,"BYTANTAY","ASAR","RU",68.62,134.12,40000,80,NA,NA,NA,NA,1937,1999,63,25.26595745,1937,1999,63,"161.1","5.0804496","127.01124",54.07
2999850,2,2992,"KOTUY","KHATANGA","RU",71.98,102.47,275000,-999,1971,1991,21,79.77361542,1961,1994,34,63,1961,1994,34,"2600.008","81.99385229","298.1594629",88.82
2999910,2,2993,"OLENEK","7.5KM D/S OF MOUTH OF RIVER PUR","RU",71.85,123.65,198000,-999,1953,2011,59,3.38298761,1965,2015,51,37.90849673,1953,2015,63,"1125.438","35.49181277","179.2515796",10.57
2999920,2,2993,"OLENEK","SUKHANA","RU",68.62,118.33,127000,44,1940,1994,55,2.045895764,1936,2015,80,0,1936,2015,80,"692.63","21.84277968","171.9903912",9.76
2999921,2,2993,"OLENEK","YAROLIN","RU",68.1,108.6,13700,-999,NA,NA,NA,NA,1959,1999,41,33.19672131,1959,1999,41,"90.142","2.842718112","207.4976724",57.52
2999922,2,2993,"OLENEK","OLENEK","RU",68.5,112.43,89200,-999,NA,NA,NA,NA,1936,1999,64,12.76041667,1936,1999,64,"514.795","16.23457512","182.0019632",55.28
3103150,3,3031,"CAUCA, RIO","LA PINTADA","CO",5.73,-75.6,27452,-999,NA,NA,NA,NA,1969,1984,16,43.75,1969,1984,16,"790.178","24.91905341","907.7318013",87.8
3103300,3,3031,"MAGDALENA, RIO","CALAMAR","CO",10.27,-74.92,257438,1170,NA,NA,NA,NA,1971,1990,20,5,1971,1990,20,"7332.016","231.2224566","898.1675455",70.73
3103500,3,3031,"MAGDALENA, RIO","PUERTO BERRIO","CO",6.5,-74.38,74410,1570,NA,NA,NA,NA,1969,1984,16,18.75,1969,1984,16,"2483.026","78.30470794","1052.34119",85.37
3142500,3,3421,"PATIA, RIO","PTE PUSMEO","CO",1.7,-77.62,13147,1975,NA,NA,NA,NA,1971,1984,14,11.30952381,1971,1984,14,"288.042","9.083692512","690.9327232",85.37
3179200,3,3790,"MAIPO, RIO","CABIMBAO","CL",-33.77,-71.53,14823,35,1939,2018,80,48.32899531,1966,1984,19,37.28070175,1939,2018,80,"134.433","4.239479088","286.0068197",12.4
3179250,3,3794,"RAPEL, RIO","CORNECHE","CL",-33.98,-71.68,13186,17,NA,NA,NA,NA,1966,1979,14,0,1966,1979,14,"167.508","5.282532288","400.6167365",97.56
3179300,3,3790,"RIO MAULE","FOREL","CL",-35.4069,-72.2083,19870,30,1985,2018,34,7.202970297,NA,NA,NA,NA,1985,2018,34,"489.435","15.43482216","776.7902446",39.63
3179400,3,3790,"RIO ITATA","COELEMU","CL",-36.4669,-72.6911,10402.2,27,1985,2017,33,5.672845863,NA,NA,NA,NA,1985,2017,33,"326.294","10.29000758","989.2145492",30.08
3179500,3,3791,"BIOBIO, RIO","DESEMBOCADURA","CL",-36.83,-73.07,24029,-999,1970,2018,49,14.48538755,1963,1992,30,1.449275362,1963,2018,56,"972.726","30.67588714","1276.619382",7.72
3179520,3,3791,"BIOBIO, RIO","COIHUE","CL",-37.5503,-72.5903,11136.9,60,1928,2018,91,63.48194027,NA,NA,NA,NA,1928,2018,91,"572.393","18.05098565","1620.826769",33.13
3179800,3,3793,"LIMARI, RIO","PANAMERICANA","CL",-30.63,-71.57,11343,97,1958,2017,60,11.99218205,1966,1984,19,44.29824561,1958,2017,60,"5.604","0.176727744","15.58033536",17.68
3180110,3,3801,"LOA, RIO","DESEMBOCADURA","CL",-21.4247,-70.0536,52243.7,-999,1989,2017,29,21.46231057,NA,NA,NA,NA,1989,2017,29,"0.272","0.008577792","0.164188065",51.22
3180120,3,3801,"LOA, RIO","D. J. SAN SALVADOR-(M. ELENA)","CL",-22.3431,-69.565,16418.7,1240,1993,2016,24,20.50925926,NA,NA,NA,NA,1993,2016,24,"0.54","0.01702944","1.037197829",56.91
3180130,3,3801,"LOA, RIO","FINCA","CL",-22.5061,-68.9889,10716.1,2100,1971,2017,47,17.72069293,NA,NA,NA,NA,1971,2017,47,"0.669","0.021097584","1.968774461",23.58
3180500,3,3802,"COPIAPO, RIO","ANGOSTURA","CL",-27.3194,-70.8381,18549.9,48,1963,2017,55,6.812997415,NA,NA,NA,NA,1963,2017,55,"0.402","0.012677472","0.683425355",19.72
3186500,3,3861,"BAKER, RIO","COLONIA","CL",-47.35,-72.85,23736,105,2011,2018,8,29.14285714,1963,1984,22,0,1963,2018,56,"n.a.","n.a.","n.a.",73.17
3206610,3,3061,"EREBATO, RIO","EL PERRO","VE",5.9,-64.49,11610,180,1978,1988,11,3.409656546,1978,1988,11,3.03030303,1978,1988,11,"877.369","27.66870878","2383.179051",76.42
3206630,3,3061,"CAURA, RIO","DOS AGUAS","VE",5.97,-64.43,25000,173,1978,1988,11,8.885017422,1978,1988,11,7.575757576,1978,1988,11,"1935.137","61.02648043","2441.059217",76.63
3206720,3,3061,"ORINOCO, RIO","PUENTE ANGOSTURA","VE",8.15,-63.6,836000,20,1923,1989,67,1.330486202,1923,1989,67,1.25,1923,1989,67,"31208.473","984.1904045","1177.261249",73.17
3206800,3,3061,"ORINOCO, RIO","TAMA-TAMA","VE",3.12,-65.87,37870,-999,1978,1988,11,0,1978,1988,11,0,1978,1988,11,"1250.03","39.42094608","1040.954478",75.61
3218050,3,3181,"NEGRO, RIO","SAN CARLOS DE RIO NEGRO","VE",1.93,-67.12,103760,-999,1978,1988,11,0,1978,1988,11,0,1978,1988,11,"4455.287","140.5019308","1354.104962",75.61
3218100,3,3181,"CASIQUIARE, RIO","SOLANO","VE",1.95,-66.95,80960,-999,1978,1988,11,1.518168243,1978,1988,11,1.515151515,1978,1988,11,"2150.855","67.82936328","837.8132816",76.02
3264500,3,3641,"PARANA, RIO","POSADAS","AR",-27.37,-55.88,975000,800,1901,2000,100,0.049366464,1901,2000,100,0,1901,2000,100,"12449.932","392.6210556","402.6882621",46.75
3265030,3,3651,"PASAJE, RIO","MIRAFLORES","AR",-25.37,-64.83,34500,610,NA,NA,NA,NA,1929,1980,52,5.161290323,1929,1980,52,"33.781","1.065317616","30.87877148",95.93
3265070,3,3651,"PASAJE, RIO","EL TUNAL","AR",-25.23,-64.47,38000,425,NA,NA,NA,NA,1941,1980,40,0,1941,1980,40,"37.467","1.181559312","31.09366611",95.93
