grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
4203150,4,4031,STEWART RIVER,MAYO,CA,63.59,-135.89,31598,-999,1949,1979,31,3.894149925,1949,1979,31,4.312668464,1949,1979,31,377.118,11.89279325,376.3780381
2853150,2,2531,MAHI RIVER,SEVALIA,IN,22.3,73.03,33670,-999,,,,,1968,1979,12,8.333333333,1968,1979,12,384.057,12.11162155,359.7155198
2854100,2,2542,BHIMA RIVER,TAKALI,IN,17.4,75.85,33916,411,,,,,1968,1979,12,8.333333333,1968,1979,12,238.006,7.505757216,221.304317
1547400,1,1471,CHAMBESHI,OLD PONTOON,ZM,-10.95,31.07,34745,1200,1972,2004,33,16.94605809,1976,1979,4,2.083333333,1972,2004,33,176.72,5.57304192,160.398386
1427450,1,1271,SASSANDRA,GUESSABO,CI,6.74,-7,35000,-999,1979,1979,1,0,1979,1979,1,0,1979,1979,1,297.436,9.379941696,267.9983342
3652039,3,3526,"ITAPICURU, RIO",USINA ALTAMIRA,BR,-11.73472,-37.80333,35150,17,1964,2019,56,17.89648925,1964,1979,16,11.53846154,1964,2019,56,25.629,0.808236144,22.9939159
4214950,4,4143,"GEORGE, RIVIERE",AUX CHUTES HELEN,CA,58.1547,-65.8436,35200,104,1957,1979,23,28.14787701,1962,1979,18,7.317073171,1957,1979,23,738.534,23.29040822,661.6593245
2854150,2,2542,KRISHNA,ALAMATI,IN,16.33,75.55,36286,489,,,,,1971,1979,9,12.96296296,1971,1979,9,569.175,17.9495028,494.667442
1897500,1,1971,"INCOMATI, RIO",CHOBELA,MZ,-25.02,32.73,37600,14,,,,,1976,1979,4,2.083333333,1976,1979,4,104.017,3.280280112,87.24149234
6123300,6,6231,LOIRE,BLOIS,FR,47.58,1.33,38240,66,,,,,1863,1979,117,0.854700855,1863,1979,117,362.714,11.4385487,299.1252276
2856600,2,2561,INDRAVATI RIVER,PARTHGUDEM,IN,18.82,80.35,40000,86,,,,,1971,1979,9,11.11111111,1971,1979,9,398.763,12.57538997,314.3847492
6212400,6,6121,"DOURO, RIO",VILLACHICA O SAN ANDRES,ES,41.5,-5.48,41856,641,1930,1968,39,39.39094185,1921,1979,59,0,1921,1979,59,145.75,4.596372,109.8139335
6348400,6,6481,"PO, FIUME",PIACENZA,IT,45.016666,9.666667,42030,42,1980,1985,6,0,1924,1979,56,0,1924,1985,62,928.539,29.2824059,696.7024959
6122300,6,6221,SEINE,PARIS,FR,48.83,2.27,44320,26,,,,,1928,1979,52,2.403846154,1928,1979,52,269.109,8.486621424,191.4851404
2856530,2,2561,WARDHA RIVER,BAMNI BR.,IN,19.8,79.37,46020,157,,,,,1971,1979,9,12.03703704,1971,1979,9,359.465,11.33608824,246.329601
2495450,2,2952,"KARKHEH, RUDKHANEH-YE",HAMIDIYEH,IR,31.5,48.433333,46121,20,1950,2016,67,2.928731436,1976,1979,4,0,1950,2016,67,133.667,4.215322512,91.39703198
2421450,2,2211,RUDKHANEH-YE QEZEL OWZAN,GILVAN,IR,36.778333,49.132778,49300,311,,,,,1976,1979,4,0,1976,1979,4,96.746,3.050981856,61.8860417
2856550,2,2561,WAINGANGA RIVER,ASHTI,IN,19.68,79.78,50990,137,,,,,1968,1979,12,8.333333333,1968,1979,12,695.653,21.93811301,430.24344
6139400,6,6391,RHONE,GIVORS,FR,45.58,4.8,51080,148,,,,,1973,1979,7,14.28571429,1973,1979,7,1019.817,32.16094891,629.6192034
3410500,3,3101,COURANTYNE RIVER,MATAWAY,SR,5.8,-57.12,51600,9,,,,,1973,1979,7,0,1973,1979,7,1090.06,34.37613216,666.2041116
6125100,6,6251,GARONNE,MAS-D'AGENAIS,FR,44.42,0.23,52000,17,1961,1979,19,10.56348177,1920,1979,60,0,1920,1979,60,671.096,21.16368346,406.9939126
2854500,2,2543,PENNER RIVER,NELLORE,IN,14.45,79.98,53290,-999,,,,,1965,1979,15,6.666666667,1965,1979,15,74.483,2.348895888,44.07761096
6348500,6,6481,"PO, FIUME",BORETTO,IT,44.900002,10.55,55183,20,1980,1985,6,0,1965,1979,15,0,1965,1985,21,1233.863,38.91110357,705.1284556
2856300,2,2561,GODAVARI RIVER,BABLI,IN,18.87,77.82,55510,304,,,,,1971,1979,9,11.11111111,1971,1979,9,165.379,5.215392144,93.95410095
4353300,4,4532,YAQUI,EL NOVILLO I,MX,28.93,-109.63,57908,480,1958,1979,22,55.84218513,1976,1979,4,0,1958,1979,22,78.662,2.480684832,42.83837867
3717600,3,3171,"GRANDE, RIO",ABAPO,BO,-18.85,-63.47,59000,500,,,,,1976,1979,4,0,1976,1979,4,232.814,7.342022304,124.441056
4358300,4,4581,"PANUCO, RIO",LAS ADJUNTAS,MX,21.9833,-98.566667,61063,80,1956,2002,47,0.834165541,1965,1979,15,0,1956,2002,47,391.373,12.34233893,202.1246733
2853300,2,2533,TAPI,KATHORE,IN,21.28,72.95,61575,-999,,,,,1940,1979,40,31.15789474,1940,1979,40,408.222,12.87368899,209.0733088
6444300,6,6441,TISA,POLGAR,HU,47.866665,21.083334,62723,88,,,,,1921,1979,59,5.790960452,1921,1979,59,520.546,16.41593866,261.7211973
3469100,3,3691,"NEGRO, RIO",PALMAR,UY,-33.12,-57.18,63000,13,,,,,1910,1979,70,13.0952381,1910,1979,70,693.872,21.88194739,347.3324983
3412800,3,3121,MARONI RIVER,LANGA TABBETJE,SR,5,-54.4,63700,10,,,,,1976,1979,4,0,1976,1979,4,1895.34,59.77144224,938.3271937
1563800,1,1631,BLUE NILE,KESSIE,ET,11.07,38.18,65784,-999,,,,,1976,1979,4,0,1976,1979,4,464.519,14.64907118,222.6844093
1591200,1,1911,KABOMPO,WATOPA PONTOON (60380050),ZM,-14.016667,23.6,66667,1075,,,,,1976,1979,4,0,1976,1979,4,339.69,10.71246384,160.6861542
2854400,2,2542,TUNGABHADRA RIVER,BAWAPURAM,IN,15.55,77.95,67180,272,,,,,1968,1979,12,8.333333333,1968,1979,12,179.872,5.672443392,84.43648991
1286660,1,1861,GREAT RUAHA RIVER,MTERA,TZ,-7.92,36.98,67950,680,1954,1979,26,4.247440645,1955,1979,25,3,1954,1979,26,123.665,3.89989944,57.39366358
3716400,3,3161,"BENI, RIO",ANGOSTO DEL BALA,BO,-14.55,-67.55,69000,284,,,,,1976,1979,4,0,1976,1979,4,2293.668,72.33311405,1048.306001
2854180,2,2542,BHIMA RIVER,YADGIRI,IN,16.68,77.13,69863,350,,,,,1971,1979,9,11.11111111,1971,1979,9,346.114,10.9150511,156.2350758
1634650,1,1341,"NIGER, RIVER",TIGUIBERY,GN,11.25,-9.17,70000,-999,1952,1979,28,10.57530449,1952,1979,28,10.54216867,1952,1979,28,1104.624,34.83542246,497.6488923
4351200,4,4511,RIO GRANDE,AGAUAS ABAJO DEL CONCHOS EN OJINAGA,MX,29.57,-104.45,71964,850,1946,1996,51,39.22052824,1976,1979,4,0,1946,1996,51,36.238,1.142801568,15.88018409
2854800,2,2540,CAUVERY RIVER,GRAND ANICUT,IN,10.83,78.83,74004,58,,,,,1971,1979,9,33.33333333,1971,1979,9,208.418,6.572670048,88.8150647
4103700,4,4031,PORCUPINE RIVER,"NEAR FORT YUKON, ALAS.",US,66.9903,-143.1404,76405,158.496,1964,1979,16,0,1964,1979,16,1.098901099,1964,1979,16,414.723,13.07870453,171.1760294
3768500,3,3681,"PILCOMAYO, RIO",VILLA MONTES,BO,-21.25,-63.47,81506,340,,,,,1976,1979,4,0,1976,1979,4,221.906,6.998027616,85.85904861
2856320,2,2561,GODAVARI RIVER,BASAR,IN,18.87,77.98,86660,299,,,,,1971,1979,9,11.11111111,1971,1979,9,244.285,7.70377176,88.89651235
2853200,2,2532,NARMADA,GARUDESHWAR,IN,21.92,73.65,89345,-999,,,,,1949,1979,31,16.12903226,1949,1979,31,1222.864,38.5642391,431.6328737
1895500,1,1951,"SAVE, RIO",VILLAFRANCA DO SAVE,MZ,-21.1,34.68,100885,20,,,,,1976,1979,4,2.127659574,1976,1979,4,424.192,13.37731891,132.5996819
2856500,2,2561,GODAVARI RIVER,MANCHERIAL,IN,18.83,79.45,102900,124,,,,,1968,1979,12,8.333333333,1968,1979,12,433.431,13.66868002,132.8345969
6123100,6,6231,LOIRE,MONTJEAN,FR,47.38,-0.83,110000,9,1963,1979,17,5.894669029,1863,1979,117,0,1863,1979,117,911.927,28.75852987,261.4411807
6395100,6,6951,EUPHRATES RIVER,KADAHEYEH,SY,36.53,38.25,114000,307,,,,,1976,1979,4,0,1976,1979,4,971.846,30.64813546,268.8432935
2903055,2,2031,VITIM,MNOGOOB. KOSA,RU,56.08,115.77,147000,-999,,,,,1962,1979,18,64.4549763,1962,1979,18,641.467,20.22930331,137.6143082
2311105,2,2111,IRTYSH,SHULBA,KZ,50.38,81.13,179000,-999,,,,,1937,1979,43,8.333333333,1937,1979,43,921.711,29.0670781,162.3859112
1880100,1,1801,"JUBBA, WEBI",LUGH GANANA,SO,3.56,42.32,179520,-999,,,,,1951,1979,29,8.308605341,1951,1979,29,190.801,6.017100336,33.51771578
1878500,1,1781,"SHEBELE, WABI",BELET UEN,SO,4.78,45.2,211800,-999,,,,,1951,1979,29,9.226190476,1951,1979,29,66.028,2.082259008,9.831251218
3269500,3,3691,URUGUAY RIVER,CONCORDIA,AR,-31.4,-58.02,249312,2,,,,,1968,1979,12,0,1968,1979,12,5220.471,164.6327735,660.3483725
2854300,2,2542,KRISHNA,VIJAYAWADA,IN,16.52,80.62,251355,-999,,,,,1901,1979,79,6.329113924,1901,1979,79,1656.43,52.23717648,207.822309
1878300,1,1781,"SHEBELE, WABI",MAHADDEI UEN,SO,3,45.53,255300,-999,,,,,1951,1979,29,25.51928783,1951,1979,29,58.249,1.836940464,7.195223126
2335200,2,2351,INDUS RIVER,ATTOCK,PK,33.9,72.25,265122,258,,,,,1973,1979,7,0,1973,1979,7,2543.947,80.22591259,302.5999826
1878100,1,1781,"SHEBELE, WABI",AFGOI,SO,2.17,45.09,278000,-999,,,,,1951,1979,29,9.552238806,1951,1979,29,45.432,1.432743552,5.153753784
2337100,2,2371,CHENAB RIVER,PANJNAD,PK,29.35,71.03,280238,99,,,,,1973,1979,7,0,1973,1979,7,2016.502,63.59240707,226.9228551
2856900,2,2561,GODAVARI RIVER,POLAVARAM,IN,16.92,81.78,299320,-999,,,,,1901,1979,79,6.468716861,1901,1979,79,3073.755,96.93393768,323.8471792
1896500,1,1961,LIMPOPO RIVER,CHOKWE,MZ,-24.5,33,342000,23,,,,,1976,1979,4,15.55555556,1976,1979,4,439.791,13.86924898,40.55335958
