grdc_no,wmo_reg,sub_reg,river,station,country,lat,lon,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr,miss,airEntry1,airEntry2,aqThick,area_pcr,aridityIdx,bankArea,bankDepth,bankWidth,demAverage,forestFraction,groundwaterDepth,KSat1,KSat2,kSatAquifer,percolationImp,poreSize1,poreSize2,recessionCoeff,resWC1,resWC2,satWC1,satWC2,slopeLength,specificYield,storage2,storDepth1,tanSlope
4208881,4,4081,CLEARWATER RIVER,ABOVE CHRISTINA RIVER,CA,56.66111,-110.92778,17000.0,-999.0,1966.0,2020.0,55.0,18.59157757,1966.0,1993.0,28.0,18.59756098,1966,2020,55,76.293,2.405976048,141.5280028,13.41,-0.211212312698785,-0.280207057090122,-0.160823534569433,-0.042316336274501,-0.230009393256593,-0.241769699003547,-0.235292026170465,-0.297492538038542,-0.240099249557684,1.29720879859378,-0.414987473064071,-0.512389275453953,2.16380005677956,-0.0373399858163752,0.0014545033568934,0.776926936197853,0.329335756623628,0.0436980769533542,-0.125148477879962,1.7150608420954,-0.244136725011362,2.73071143914683,-0.342012845486052,-0.79280323936184,1.6157801764683,0.421505282035892,-0.637602252837488
4208962,4,4081,PEMBINA RIVER,JARVIE,CA,54.451389,-113.99167,13100.0,-999.0,1957.0,2020.0,64.0,2.078651685,1957.0,1993.0,37.0,3.669724771,1957,2020,64,34.255,1.08026568,82.46302901,0.0,0.319601085128923,-0.116540888149377,-0.134768465793307,-0.185437752255601,-0.389750013329513,-0.398309438875329,-0.304170618296434,-0.557605638747161,-0.098327908088258,-0.080108169863845,-0.648734002829793,-0.856281690381535,-0.310257040979803,-0.448439563246687,-0.960988982878491,1.32928310133508,1.70162371885726,-0.32169650065336,0.854669118567838,1.19140109183749,-0.0880841919424248,0.718320911624254,-0.283642348090674,-0.786628232951243,1.11050431892194,0.950488197270842,-0.682505927524492
4208971,4,4081,FOND-DU-LAC RIVER,OUTLET OF BLACK LAKE,CA,59.147221,-105.53889,50700.0,-999.0,1963.0,2020.0,58.0,4.073637007,1963.0,1993.0,31.0,0.0,1963,2020,58,303.372,9.567139392,188.7009742,5.89,-0.843387948522935,-0.0198531597913405,-0.117277141776538,0.0178312363986279,-0.0102897207254398,-0.232976801340402,-0.0343338085317544,-0.167363042644965,-0.363253810406613,1.16977788917007,-0.593174964055039,-0.234509567522672,1.38043214547983,1.82192539385737,0.593638123641374,0.398466814646743,-0.941585293001589,0.87208064914001,-1.02708576687754,-0.0788609456706752,-0.316689242415773,1.19099967493409,-0.369774215558993,-0.726166890038925,0.698716077062178,0.121259627726792,-0.628995755761333
4208975,4,4081,CREE RIVER,OUTLET OF WAPATA LAKE,CA,58.858334,-105.81944,20700.0,-999.0,1972.0,1995.0,24.0,1.316892135,1972.0,1993.0,22.0,1.945525292,1972,1995,24,123.552,3.896335872,188.2287861,59.96,-0.879838479033044,0.239106580579452,-0.118032857971642,-0.0781119816271151,-0.126570046295118,-0.23000553860697,0.009887305599967,-0.0857993520971582,-0.326644581744567,1.22506599197098,-0.601919403226529,-0.220561628998158,1.64717293965922,3.20412808058634,1.24182848684297,0.165516056726437,-1.3617686255022,1.23800731374528,-1.452181300418,-0.291532097567168,-0.53171128578861,1.29397763745319,-0.350567485526956,-0.570351312457137,0.581195727320086,-0.0319218863773979,-0.628456307950933
4209150,4,4091,ANDERSON RIVER,BELOW CARNWATH RIVER,CA,68.632225,-128.41333,56300.0,-999.0,1969.0,2017.0,49.0,26.88012762,1969.0,1993.0,25.0,0.0,1969,2017,49,141.848,4.473318528,79.45503602,38.41,-0.423145529287738,0.13990544254842,-0.193006137236784,0.0924972535296369,0.0654821489278328,-0.313033726197166,-0.188612916729163,-0.404484535175435,-0.559993259289523,-0.757424102265622,-0.51452324956449,2.62234171298535,2.5806852042971,0.080808178732164,2.0034864891103,-0.664818013846432,-1.40457646677427,4.2763652531301,0.536179409758181,0.417059773015217,1.94465336693898,1.56387743389254,-0.448332299255815,-0.581010400602,-1.36851002734246,-1.83013630240182,-0.533667667634559
4209155,4,4091,CARNWATH RIVER,BELOW ANDREW RIVER,CA,68.393608,-128.94972,21500.0,-999.0,1982.0,1994.0,13.0,1.201923077,1982.0,1993.0,12.0,1.449275362,1982,1994,13,47.122,1.486039392,69.11811126,69.92,-0.425095226758437,0.136115692025857,-0.187000141207864,0.0766586513036234,0.0916304389503029,-0.332913608357373,-0.226217052764037,-0.440479292643392,-0.557357058736542,-0.760937260032303,-0.518697994621341,2.63433799506586,2.58532286772067,0.111785620457676,2.0034864891103,-0.65758714653857,-1.39628429672066,4.47218242606659,0.560591978795487,0.436823931319862,1.96819555648446,1.58265588726603,-0.447506392811999,-0.570333220258954,-1.36548375224181,-1.83013630240182,-0.538410069534533
4209400,4,4090,COPPERMINE RIVER,OUTLET OF POINT LAKE,CA,65.414444,-114.00806,19300.0,-999.0,1965.0,2018.0,54.0,1.218575598,1965.0,1996.0,32.0,2.387267905,1965,2018,54,105.755,3.33508968,172.8025741,2.44,0.0542659852747278,1.6372299832092,-0.0047307440152625,-0.181751371536251,0.120783450661326,-0.306706806600452,0.034038591610238,-0.299580659391607,-0.251170358298778,-0.859626411647922,-0.56803647806172,-0.487890335566919,-0.619162998651706,-0.430383246350878,2.04561324581751,1.63336633230249,0.966906307806686,-0.15426156173926,0.723421799733738,-0.0778857146202275,0.880870769802276,0.122003840003998,-0.401631581388395,-1.04177415368009,-2.00131909545776,-2.21015498402376,-0.735409463934078
4209401,4,4093,COPPERMINE RIVER,ABOVE COPPER CREEK,CA,67.228889,-115.88695,46800.0,-999.0,1987.0,2018.0,32.0,6.519507187,1987.0,1993.0,7.0,0.0,1987,2018,32,243.616,7.682674176,164.1597046,27.24,-0.270738669374809,0.324857049657344,-0.151201787136931,0.0199040909569257,0.306167567513039,0.431196754228478,0.724447975449169,0.784966184431275,-0.34670257869217,-1.0496929708167,-0.534515338293358,0.361473563004319,0.490913271373887,-0.430277129273089,2.03642337185434,0.369385466216435,-0.190797422804868,-0.121376715578831,-0.249720341789756,-0.568151666166828,0.453487533328157,-0.0350835883779637,-0.406375569812408,-1.03319984344893,-1.93375096558697,-2.12724603019185,-0.598120969919764
4209402,4,4093,COPPERMINE RIVER,ABOVE BLOODY FALLS,CA,67.74,-115.37,50700.0,-999.0,1983.0,1986.0,4.0,0.0,1983.0,1993.0,11.0,0.0,1983,1993,11,338.268,10.66761965,210.4066992,74.59,-0.304974035131486,0.290219122601378,-0.18928053430381,0.10612666011731,0.376958810495365,0.228053428947511,0.40345841357399,0.493141480774107,-0.396505646863735,-1.08254385519308,-0.534710013292398,0.951618301976045,1.06820574962063,-0.245637550972102,2.02696825534895,0.0367655700547937,-0.580202400167522,0.8856928425237,-0.144231671380992,-0.382511716854125,0.765744648052977,0.331602137463791,-0.421854636762169,-0.971364885182255,-1.78641620189028,-2.04195809762133,-0.543255037925533
4209550,4,4090,BURNSIDE RIVER,NEAR THE MOUTH,CA,66.73333,-108.80222,16800.0,-999.0,1976.0,2018.0,43.0,7.83553142,1976.0,1996.0,21.0,3.278688525,1976,2018,43,128.468,4.051366848,241.1527886,10.37,-0.493610019231581,-0.504548506418019,-0.161612751585556,-0.0769676568380707,0.61071173520074,-0.357764169400624,-0.364348180643778,-0.337047681621565,-0.382303539413634,-1.16441584628637,-0.467901171475762,0.928605333713557,1.31341146781001,-0.429785055470218,2.03157099358177,-0.635586680177205,-1.19840898240849,0.277837342181118,-1.22701976251165,-1.11603489735522,-0.0871719004207492,-0.339363333396587,-0.452811861198297,-1.03589697268574,-1.93070600977582,-2.08348209014978,-0.628892215537796
